,daily change
2000-01-03,BIGNEG
2000-01-04,BIGPOS
2000-01-05,BIGPOS
2000-01-06,BIGPOS
2000-01-07,MEDPOS
2000-01-08,MEDPOS
2000-01-09,MEDPOS
2000-01-10,MEDNEG
2000-01-11,MEDPOS
2000-01-12,MEDPOS
2000-01-13,BIGPOS
2000-01-14,BIGNEG
2000-01-15,BIGNEG
2000-01-16,BIGNEG
2000-01-17,BIGNEG
2000-01-18,MEDNEG
2000-01-19,BIGNEG
2000-01-20,MEDNEG
2000-01-21,BIGNEG
2000-01-22,BIGNEG
2000-01-23,BIGNEG
2000-01-24,SMAPOS
2000-01-25,SMAPOS
2000-01-26,SMANEG
2000-01-27,BIGNEG
2000-01-28,BIGPOS
2000-01-29,BIGPOS
2000-01-30,BIGPOS
2000-01-31,MEDPOS
2000-02-01,MEDNEG
2000-02-02,SMAPOS
2000-02-03,MEDNEG
2000-02-04,MEDNEG
2000-02-05,MEDNEG
2000-02-06,MEDNEG
2000-02-07,MEDPOS
2000-02-08,BIGNEG
2000-02-09,MEDNEG
2000-02-10,BIGNEG
2000-02-11,MEDPOS
2000-02-12,MEDPOS
2000-02-13,MEDPOS
2000-02-14,BIGPOS
2000-02-15,BIGNEG
2000-02-16,MEDNEG
2000-02-17,BIGNEG
2000-02-18,MEDPOS
2000-02-19,MEDPOS
2000-02-20,MEDPOS
2000-02-21,MEDPOS
2000-02-22,MEDNEG
2000-02-23,BIGNEG
2000-02-24,BIGNEG
2000-02-25,BIGPOS
2000-02-26,BIGPOS
2000-02-27,BIGPOS
2000-02-28,MEDPOS
2000-02-29,SMAPOS
2000-03-01,SMAPOS
2000-03-02,BIGPOS
2000-03-03,BIGNEG
2000-03-04,BIGNEG
2000-03-05,BIGNEG
2000-03-06,BIGNEG
2000-03-07,MEDPOS
2000-03-08,BIGPOS
2000-03-09,MEDNEG
2000-03-10,SMAPOS
2000-03-11,SMAPOS
2000-03-12,SMAPOS
2000-03-13,BIGNEG
2000-03-14,BIGPOS
2000-03-15,BIGPOS
2000-03-16,MEDNEG
2000-03-17,MEDPOS
2000-03-18,MEDPOS
2000-03-19,MEDPOS
2000-03-20,BIGPOS
2000-03-21,MEDNEG
2000-03-22,BIGPOS
2000-03-23,SMANEG
2000-03-24,MEDNEG
2000-03-25,MEDNEG
2000-03-26,MEDNEG
2000-03-27,MEDNEG
2000-03-28,MEDPOS
2000-03-29,MEDNEG
2000-03-30,MEDNEG
2000-03-31,BIGPOS
2000-04-01,BIGPOS
2000-04-02,BIGPOS
2000-04-03,MEDNEG
2000-04-04,BIGNEG
2000-04-05,MEDPOS
2000-04-06,SMANEG
2000-04-07,MEDPOS
2000-04-08,MEDPOS
2000-04-09,MEDPOS
2000-04-10,MEDPOS
2000-04-11,BIGNEG
2000-04-12,BIGNEG
2000-04-13,BIGNEG
2000-04-14,BIGPOS
2000-04-15,BIGPOS
2000-04-16,BIGPOS
2000-04-17,BIGPOS
2000-04-18,MEDNEG
2000-04-19,BIGPOS
2000-04-20,MEDPOS
2000-04-21,MEDPOS
2000-04-22,MEDPOS
2000-04-23,MEDPOS
2000-04-24,BIGPOS
2000-04-25,BIGNEG
2000-04-26,MEDNEG
2000-04-27,BIGNEG
2000-04-28,MEDPOS
2000-04-29,MEDPOS
2000-04-30,MEDPOS
2000-05-01,MEDNEG
2000-05-02,BIGNEG
2000-05-03,MEDNEG
2000-05-04,BIGPOS
2000-05-05,SMAPOS
2000-05-06,SMAPOS
2000-05-07,SMAPOS
2000-05-08,MEDNEG
2000-05-09,BIGNEG
2000-05-10,BIGPOS
2000-05-11,MEDPOS
2000-05-12,BIGPOS
2000-05-13,BIGPOS
2000-05-14,BIGPOS
2000-05-15,BIGPOS
2000-05-16,BIGNEG
2000-05-17,SMAPOS
2000-05-18,BIGNEG
2000-05-19,MEDNEG
2000-05-20,MEDNEG
2000-05-21,MEDNEG
2000-05-22,MEDNEG
2000-05-23,MEDPOS
2000-05-24,BIGNEG
2000-05-25,SMANEG
2000-05-26,BIGPOS
2000-05-27,BIGPOS
2000-05-28,BIGPOS
2000-05-29,BIGPOS
2000-05-30,SMANEG
2000-05-31,BIGPOS
2000-06-01,BIGPOS
2000-06-02,SMAPOS
2000-06-03,SMAPOS
2000-06-04,SMAPOS
2000-06-05,MEDNEG
2000-06-06,MEDPOS
2000-06-07,BIGNEG
2000-06-08,MEDNEG
2000-06-09,MEDNEG
2000-06-10,MEDNEG
2000-06-11,MEDNEG
2000-06-12,MEDPOS
2000-06-13,MEDPOS
2000-06-14,SMAPOS
2000-06-15,BIGNEG
2000-06-16,MEDPOS
2000-06-17,MEDPOS
2000-06-18,MEDPOS
2000-06-19,MEDNEG
2000-06-20,MEDPOS
2000-06-21,MEDNEG
2000-06-22,SMAPOS
2000-06-23,BIGPOS
2000-06-24,BIGPOS
2000-06-25,BIGPOS
2000-06-26,MEDNEG
2000-06-27,SMAPOS
2000-06-28,BIGNEG
2000-06-29,MEDPOS
2000-06-30,MEDPOS
2000-07-01,MEDPOS
2000-07-02,MEDPOS
2000-07-03,MEDNEG
2000-07-04,MEDNEG
2000-07-05,SMANEG
2000-07-06,BIGPOS
2000-07-07,SMAPOS
2000-07-08,SMAPOS
2000-07-09,SMAPOS
2000-07-10,MEDPOS
2000-07-11,MEDPOS
2000-07-12,SMAPOS
2000-07-13,SMAPOS
2000-07-14,SMANEG
2000-07-15,SMANEG
2000-07-16,SMANEG
2000-07-17,MEDNEG
2000-07-18,MEDNEG
